Pillar,Capability,Activity,ActivityDescriptions,ActivityOutcomes,CapabilityDescription,CapabilityOutcome,AssociatedActivities,AssessmentId,AssessmentName,AssessmentDescription,Standard,Control
" Automation and Orchestration","6.4 Artificial Intelligence","6.4.2 ai driven by analytics decides a&o modifications","DoD Organizations utilizing existing machine learning functions implement and use AI technology such as neural networks to drive automation and orchestration decisions. Decision making is moved to AI as much as possible freeing up human staff for other efforts.
Utilizing historical patterns, AI will make anticipatory changes in the
environment to better reduce risk.","AI is able to make changes to automated workflow activities","DoD organizations employ AI to execute (and enhance execution of) critical functions - particularly risk and access determinations and environmental analysis.","DoD organizations employ AI to execute (and enhance execution of) critical functions - particularly risk and access determinations and environmental
analysis","* Implement AI automation tools
* AI Driven by Analytics decides A&O modifications","564feb30-bf6a-4854-b4bb-0d2d2d1e6c66","Web Application Firewall (WAF) should be enabled for Application Gateway","Deploy Azure Web Application Firewall (WAF) in front of public facing web applications for additional inspection of incoming traffic. Web Application Firewall (WAF) provides centralized protection of your web applications from common exploits and vulnerabilities such as SQL injections, Cross-Site Scripting, local and remote file executions. You can also restrict access to your web applications by countries, IP address ranges, and other http(s) parameters via custom rules.","NIST SP 800-53 Rev. 5","SC-5"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","e40b8f6f-0ecf-4c3b-b095-ba3562256e48","Enable logging by category group for Analysis Services (microsoft.analysisservices/servers) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Analysis Services (microsoft.analysisservices/servers).","NIST SP 800-53 Rev. 5","AC-16"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","a6dd4d00-283d-4765-b3d1-44ace2ccacda","Enable logging by category group for microsoft.networkfunction/azuretrafficcollectors to Event Hub","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to an Event Hub for microsoft.networkfunction/azuretrafficcollectors.","NIST SP 800-53 Rev. 5","AC-16"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","845857af-0333-4c5d-bbbc-6076697da122","Configure Linux Arc-enabled machines to run Azure Monitor Agent","Automate the deployment of Azure Monitor Agent extension on your Linux Arc-enabled machines for collecting telemetry data from the guest OS. This policy will install the extension if the region is supported. Learn more: https://aka.ms/AMAOverview.","NIST SP 800-53 Rev. 5","AC-16"
" User","1.3 Multi-Factor Authentication (MFA)","1.3.1 organizational mfa/idp","DoD Organizations procure and implement a centralized Identity Provider (IdP) solution and Multi-Factor (MFA) solution. The IdP and MFA solution may be combined in a single application or separated as needed assuming automated integration is supported by both solutions. Both IdP and MFA support integration with the Enterprise PKI capability as well enabling key pairs to be signed by the trusted root certificate authorities. Mission/Task-Critical applications and services are utilizing the IdP and MFA solution for management of users and groups.","Component is using IdP with MFA for critical applications/services; Components have implemented an Identity Provider (IdP) that enables DoD PKI multifactor authentication; Organizational Standardized PKI for critical services","This capability initially focuses on developing an organization focused MFA provider and Identity Provider to enable the centralization of users. Retirement of local  and/or built-in accounts and groups is a critical piece to this capability. At the later maturity levels alternative and flexible MFA tokens can be used to provide access for standard and external users.","DoD organizations require users and non-user entities to authenticate using at least two of the following three attributes: knowledge (user ID/password), possession (CAC/token), or something you are (inherence, e.g., iris/fingerprints), in order to access DAAS","* Organizational MFA/IDP
* Alternative Flexible MFA Pt1
* Alternative Flexible MFA Pt2","dabc9bc4-b8a8-45bd-9a5a-43000df8aa1c","Accounts with read permissions on Azure resources should be MFA enabled","All accounts with read permissions for Azure resources should have Multi-Factor Authentication (MFA) enabled.<br> MFA prompts users for an additional form of identification during the sign-in process, providing better security for accounts.<br> If MFA is not enabled, there is a risk of leaving an attack vector open, which could lead to breaches and attacks.<br> Therefore, to ensure the security of your Azure resources, it is crucial to enable MFA.<br>","NIST SP 800-53 Rev. 5","AC-16"
" User","1.3 Multi-Factor Authentication (MFA)","1.3.1 organizational mfa/idp","DoD Organizations procure and implement a centralized Identity Provider (IdP) solution and Multi-Factor (MFA) solution. The IdP and MFA solution may be combined in a single application or separated as needed assuming automated integration is supported by both solutions. Both IdP and MFA support integration with the Enterprise PKI capability as well enabling key pairs to be signed by the trusted root certificate authorities. Mission/Task-Critical applications and services are utilizing the IdP and MFA solution for management of users and groups.","Component is using IdP with MFA for critical applications/services; Components have implemented an Identity Provider (IdP) that enables DoD PKI multifactor authentication; Organizational Standardized PKI for critical services","This capability initially focuses on developing an organization focused MFA provider and Identity Provider to enable the centralization of users. Retirement of local  and/or built-in accounts and groups is a critical piece to this capability. At the later maturity levels alternative and flexible MFA tokens can be used to provide access for standard and external users.","DoD organizations require users and non-user entities to authenticate using at least two of the following three attributes: knowledge (user ID/password), possession (CAC/token), or something you are (inherence, e.g., iris/fingerprints), in order to access DAAS","* Organizational MFA/IDP
* Alternative Flexible MFA Pt1
* Alternative Flexible MFA Pt2","dabc9bc4-b8a8-45bd-9a5a-43000df8aa1c","Accounts with read permissions on Azure resources should be MFA enabled","All accounts with read permissions for Azure resources should have Multi-Factor Authentication (MFA) enabled.<br> MFA prompts users for an additional form of identification during the sign-in process, providing better security for accounts.<br> If MFA is not enabled, there is a risk of leaving an attack vector open, which could lead to breaches and attacks.<br> Therefore, to ensure the security of your Azure resources, it is crucial to enable MFA.<br>","NIST SP 800-53 Rev. 5","AC-2"
" Device","2.6 Unified Endpoint Management (UEM) &
Mobile Device
Management (MDM)","2.6.3 enterprise device management pt2","DoD Organizations migrate the remaining devices to Enterprise Device Management solution. EDM solution is integrated with risk and compliance solutions as appropriate.","Manual inventory is integrated with an automated management solution for all services","DoD organizations establish a centralized UEM solution that provides the choices of agent and/or agentless management of computer and mobile devices to a single console regardless of device location. DoD-issued devices can be remotely managed and security policies are enforced.","DoD organizations establish a centralized UEM tool that provides the choices of agent and/or agentless management of computer and mobile devices to a single console. DoD-issued mobile devices are remotely managed and security policies are enforced.","* Implement UEDM or equivalent Tools
* Enterprise Device Management Pt1
* Enterprise Device Management Pt2","4eb909e7-6d64-656d-6465-2eeb297a1625","[Preview]: Deploy Microsoft Defender for Endpoint agent on Linux hybrid machines","Deploys Microsoft Defender for Endpoint agent on Linux hybrid machines","Azure Recommended","Azure Recommended"
" Device","2.7 Endpoint & Extended Detection & Response (EDR & XDR)","2.7.2 implement extended detection & response (xdr) tools and integrate with c2c pt1","DoD Organizations procure and implement Extended Detection & Response (XDR) solution(s). Integration points with cross pillar capabilities are identified and prioritized based on risk. The riskiest of these integration points are actioned and integration is started. EDR continues coverage of endpoints to include the maximum number of services and applications as part of the XDR implementation. Basic analytics are sent from the XDR solution stack to the SIEM.","Integration Points have been identified per Capability; Riskiest integration points have been integrated w/ XDR; Basic alerting is in place with SIEM and/or other mechanisms","DoD organizations use endpoint detection and response (EDR) tooling to monitor, detect, and remediate malicious activity on endpoints. Expanding the capability to include XDR tooling allows organizations to account for activity beyond the endpoints such as cloud and network as well.","DoD organizations use EDR tools to monitor, detect, and remediate malicious activity on endpoints as a baseline. Upgrading to XDR tools allows organizations to account for activity beyond the endpoints.","* Implement Endpoint Detection & Response (EDR) Tools and Integrate with C2C
* Implement Extended Detection & Response (XDR) Tools and Integrate with C2C Pt1
* Implement Extended Detection & Response (XDR) Tools and Integrate with C2C Pt2","4eb909e7-6d64-656d-6465-2eeb297a1625","[Preview]: Deploy Microsoft Defender for Endpoint agent on Linux hybrid machines","Deploys Microsoft Defender for Endpoint agent on Linux hybrid machines","Azure Recommended","Azure Recommended"
" Device","2.7 Endpoint & Extended Detection & Response (EDR & XDR)","2.7.3 implement extended detection & response (xdr) tools and integrate with c2c pt2","XDR solution stack completes identification of integration points expanding coverage to the fullest amount possible. Exceptions are tracked and managed using a risk based methodical approach for continued operation. Extended analytics enabling ZT Advanced functionalities are integrated into the SIEM and other appropriate
solutions.","Remaining integration points have been integrate as appropriate; Extended alerting and response is enabled with other Analytics tools at least using SIEM","DoD organizations use endpoint detection and response (EDR) tooling to monitor, detect, and remediate malicious activity on endpoints. Expanding the capability to include XDR tooling allows organizations to account for activity beyond the endpoints such as cloud and network as well.","DoD organizations use EDR tools to monitor, detect, and remediate malicious activity on endpoints as a baseline. Upgrading to XDR tools allows organizations to account for activity beyond the endpoints.","* Implement Endpoint Detection & Response (EDR) Tools and Integrate with C2C
* Implement Extended Detection & Response (XDR) Tools and Integrate with C2C Pt1
* Implement Extended Detection & Response (XDR) Tools and Integrate with C2C Pt2","f9e2bd2f-47c7-4059-8265-c5292aa62c8a","Configure Microsoft Defender for Endpoint integration settings with Microsoft Defender for Cloud (WDATP_EXCLUDE_LINUX...)","Configures the Microsoft Defender for Endpoint integration settings, within Microsoft Defender for Cloud (also known as WDATP_EXCLUDE_LINUX_...), for enabling auto provisioning of MDE for Linux servers. WDATP setting must be turned on for this setting to be applied. See: https://learn.microsoft.com/azure/defender-for-cloud/integration-defender-for-endpoint for more information.","NIST SP 800-53 Rev. 5","AU-2"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","1c5187ed-9863-4961-bb92-c72bc3883e24","Enable logging by category group for Azure Load Testing (microsoft.loadtestservice/loadtests) to Storage","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Storage Account for Azure Load Testing (microsoft.loadtestservice/loadtests).","NIST SP 800-53 Rev. 5","AC-16"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","b88bfd90-4da5-43eb-936f-ae1481924291","Enable logging by category group for Managed HSMs (microsoft.keyvault/managedhsms) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Managed HSMs (microsoft.keyvault/managedhsms).","NIST SP 800-53 Rev. 5","AC-16"
" Network and Environment","5.4 Micro Segmentation","5.4.4 protect data in transit","Based on the data flow mappings and monitoring, policies are enabled by DoD Organizations to mandate protection of data in transit.
Common use cases such as Coalition Information Sharing, Sharing Across System Boundaries and Protection across Architectural Components are included in protection policies.","Protect Data In Transit During Coalition Information Sharing; Protect Data in Transit Across System High Boundaries; Integrate Data In Transit Protection Across Architecture Components","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized and/or cloud environments. Automation is used to apply policy changes through programmatic (e.g., API) approaches. Lastly where possible organizations will utilize host-level process micro segmentation.","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized cloud environments","* Implement Micro segmentation
* Application & Device Micro segmentation
* Process Micro segmentation
* Protect Data In Transit","882e19a6-996f-400e-a30f-c090887254f4","Migrate WAF from WAF Config to WAF Policy on Application Gateway","If you have WAF Config instead of WAF Policy, then you may want to move to the new WAF Policy. Going forward, the firewall policy will support WAF policy settings, managed rulesets, exclusions, and disabled rule-groups.","NIST SP 800-53 Rev. 5","SC-13"
" Automation and Orchestration","6.6 API Standardization","6.6.1 tool compliance analysis","Automation and Orchestration tooling and solutions are analyzed for compliance and capabilities based on the DoD Enterprise programmatic interface standard and requirements. Any additional tooling or solutions are identified to support the programmatic
interface standards and requirements.","API status is determined compliance or non-compliance to API standards; Tools to be used are Identified","DoD establishes and enforces enterprise-wide programmatic interface (e.g., API ) standards; all non-compliant APIs are identified and replaced.","DoD establishes and enforces enterprise-wide API standards; all non-compliant APIs are identified and replaced","* Tool Compliance Analysis
* Standardized API Calls & Schemas Pt1
* Standardized API Calls & Schemas Pt2","882e19a6-996f-400e-a30f-c090887254f4","Migrate WAF from WAF Config to WAF Policy on Application Gateway","If you have WAF Config instead of WAF Policy, then you may want to move to the new WAF Policy. Going forward, the firewall policy will support WAF policy settings, managed rulesets, exclusions, and disabled rule-groups.","Azure Recommended","Azure Recommended"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","1a4e592a-6a6e-44a5-9814-e36264ca96e7","Azure Monitor log profile should collect logs for categories 'write,' 'delete,' and 'action'","This policy ensures that a log profile collects logs for categories 'write,' 'delete,' and 'action'","NIST SP 800-53 Rev. 5","AC-16"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","c24c537f-2516-4c2f-aac5-2cd26baa3d26","Configure Windows Arc Machines to be associated with a Data Collection Rule or a Data Collection Endpoint","Deploy Association to link Windows Arc machines to the specified Data Collection Rule or the specified Data Collection Endpoint. The list of locations are updated over time as support is increased.","NIST SP 800-53 Rev. 5","AC-16"
" Visibility and Analytics","7.6 Automated Dynamic Policies","7.6.2 ai-enabled dynamic access control","DoD Organizations utilize previous rule based dynamic access to teach Artificial Intelligence (AI)/Machine Learning (ML) algorithms to make access decision to various resources. The ?AI-enabled Network Access? activity algorithms are updated to enable broader decision making to
all DAAS.","JIT/JEA are integrated with AI; Access is AI driven based on environment analytics","DoD Organization ML & AI solutions dynamically and automatically update security profiles and device configuration through continuous security posture monitoring, risk and confidence scoring, and automated patch management.","CNDSPs/SOCs dynamically and automatically update security profiles and device configuration through continuous security posture monitoring, risk and confidence scoring, and automated patch
management","* AI-enabled Network Access
* AI-enabled Dynamic Access Control","19539b54-c61e-4196-9a38-67598701be90","[Preview]: Azure Machine Learning Model Registry Deployments are restricted except for the allowed Registry","Only deploy Registry Models in the allowed Registry and that are not restricted.","NIST SP 800-53 Rev. 5","SI-4"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","ffe49e3d-50dd-4137-8fe5-6877c4384b69","Enable logging by category group for microsoft.workloads/sapvirtualinstances to Event Hub","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to an Event Hub for microsoft.workloads/sapvirtualinstances.","NIST SP 800-53 Rev. 5","AC-16"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.6 enterprise pki pt1","The DoD Enterprise Public Key Infrastructure (PKI) is expanded to include the addition of NPE and device certificates. NPEs and device that do not support PKI certificates are marked for retirement and
decommission starts.","Devices that are unable to have certificates are phased out and/or moved to minimal access environments; All devices and NPEs have certs installed for authentication in the
Enterprise PKI","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","934345e1-4dfb-4c70-90d7-41990dc9608b","Audit Windows machines that do not contain the specified certificates in Trusted Root","Requires that prerequisites are deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol. Machines are non-compliant if the machine Trusted Root certificate store (Cert:\LocalMachine\Root) does not contain one or more of the certificates listed by the policy parameter.","NIST SP 800-53 Rev. 5","AC-16"
" Device","2.1 Device Inventory","2.1.4 enterprise idp pt2","The DoD Enterprise Identity Provider (IdP) either using a centralized technology or federated organizational technologies adds additional dynamic attributes for NPEs such as location, usage patterns, etc.","Conditional device attributes are part of the IdP profile","DoD organizations establish and maintain an approved inventory list of all devices authorized to access the network and enroll all devices on the network prior to network connection. Device attributes will include technical details such as the PKI (802.1x) machine certificate, device object, patch/vulnerability status and others to enable successor activities.","DoD organizations establish and maintain a trusted inventory list of all devices authorized to access the network and enroll all devices on the network prior to network connection","* Device Health Tool Gap Analysis
* NPE/PKI, Device under Management
* Enterprise IDP Pt1
* Enterprise IDP Pt2","934345e1-4dfb-4c70-90d7-41990dc9608b","Audit Windows machines that do not contain the specified certificates in Trusted Root","Requires that prerequisites are deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol. Machines are non-compliant if the machine Trusted Root certificate store (Cert:\LocalMachine\Root) does not contain one or more of the certificates listed by the policy parameter.","NIST SP 800-53 Rev. 5","AC-16"
" Device","2.1 Device Inventory","2.1.2 npe/pki, device under management","DoD Organizations utilize the DoD Enterprise PKI solution/service to deploy x509 certificates to all supported and managed devices. Additional other Non-Person Entities (NPEs) that support x509 certificates are assigned in the PKI and/or IdP systems.","Non-person entities are managed via Org PKI and Org IDP","DoD organizations establish and maintain an approved inventory list of all devices authorized to access the network and enroll all devices on the network prior to network connection. Device attributes will include technical details such as the PKI (802.1x) machine certificate, device object, patch/vulnerability status and others to enable successor activities.","DoD organizations establish and maintain a trusted inventory list of all devices authorized to access the network and enroll all devices on the network prior to network connection","* Device Health Tool Gap Analysis
* NPE/PKI, Device under Management
* Enterprise IDP Pt1
* Enterprise IDP Pt2","934345e1-4dfb-4c70-90d7-41990dc9608b","Audit Windows machines that do not contain the specified certificates in Trusted Root","Requires that prerequisites are deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol. Machines are non-compliant if the machine Trusted Root certificate store (Cert:\LocalMachine\Root) does not contain one or more of the certificates listed by the policy parameter.","NIST SP 800-53 Rev. 5","AC-2"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.6 enterprise pki pt1","The DoD Enterprise Public Key Infrastructure (PKI) is expanded to include the addition of NPE and device certificates. NPEs and device that do not support PKI certificates are marked for retirement and
decommission starts.","Devices that are unable to have certificates are phased out and/or moved to minimal access environments; All devices and NPEs have certs installed for authentication in the
Enterprise PKI","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","934345e1-4dfb-4c70-90d7-41990dc9608b","Audit Windows machines that do not contain the specified certificates in Trusted Root","Requires that prerequisites are deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol. Machines are non-compliant if the machine Trusted Root certificate store (Cert:\LocalMachine\Root) does not contain one or more of the certificates listed by the policy parameter.","NIST SP 800-53 Rev. 5","IA-4"
