ActivityNumber,ActivityName,TargetLevel,Coverage,NISTControl,NISTControlName,TTP,TTPName
1.1.1,Inventory User,Target Level ZT,mitigates,AC-2,Account Management,T1619,Cloud Storage Object Discovery
1.1.1,Inventory User,Target Level ZT,mitigates,AC-2,Account Management,T1621,Multi-Factor Authentication Request Generation
1.1.1,Inventory User,Target Level ZT,mitigates,AC-2,Account Management,T1648,Serverless Execution
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1003,OS Credential Dumping
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1003.001,LSASS Memory
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1003.002,Security Account Manager
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1003.003,NTDS
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1003.004,LSA Secrets
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1003.005,Cached Domain Credentials
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1003.006,DCSync
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1003.007,Proc Filesystem
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1003.008,/etc/passwd and /etc/shadow
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1005,Data from Local System
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1021,Remote Services
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1021.001,Remote Desktop Protocol
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1021.002,SMB/Windows Admin Shares
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1021.003,Distributed Component Object Model
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1021.004,SSH
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1021.005,VNC
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1021.006,Windows Remote Management
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1025,Data from Removable Media
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1036,Masquerading
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1036.003,Rename System Utilities
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1036.005,Match Legitimate Name or Location
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1041,Exfiltration Over C2 Channel
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1047,Windows Management Instrumentation
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1048,Exfiltration Over Alternative Protocol
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1052,Exfiltration Over Physical Medium
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1052.001,Exfiltration over USB
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1053,Scheduled Task/Job
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1053.002,At (Windows)
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1053.003,Cron
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1053.005,Scheduled Task
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1053.006,Systemd Timers
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1053.007,Container Orchestration Job
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1055,Process Injection
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1055.008,Ptrace System Calls
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1056.003,Web Portal Capture
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1059,Command and Scripting Interpreter
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1059.001,PowerShell
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1059.002,AppleScript
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1059.003,Windows Command Shell
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1059.004,Unix Shell
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1059.005,Visual Basic
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1059.006,Python
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1059.007,JavaScript
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1059.008,Network Device CLI
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1068,Exploitation for Privilege Escalation
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1070,Indicator Removal on Host
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1070.001,Clear Windows Event Logs
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1070.002,Clear Linux or Mac System Logs
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1070.003,Clear Command History
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1070.007,Clear Network Connection History and Configurations
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1070.008,Clear Mailbox Data
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1070.009,Clear Persistence
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1072,Software Deployment Tools
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1078,Valid Accounts
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1078.001,Default Accounts
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1078.002,Domain Accounts
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1078.003,Local Accounts
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1078.004,Cloud Accounts
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1087.004,Cloud Account
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1098,Account Manipulation
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1098.001,Additional Cloud Credentials
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1098.002,Exchange Email Delegate Permissions
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1098.003,Add Office 365 Global Administrator Role
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1098.005,Device Registration
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1110,Brute Force
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1110.001,Password Guessing
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1110.002,Password Cracking
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1110.003,Password Spraying
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1110.004,Credential Stuffing
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1134,Access Token Manipulation
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1134.001,Token Impersonation/Theft
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1134.002,Create Process with Token
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1134.003,Make and Impersonate Token
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1136,Create Account
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1136.001,Local Account
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1136.002,Domain Account
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1136.003,Cloud Account
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1185,Browser Session Hijacking
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1190,Exploit Public-Facing Application
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1197,BITS Jobs
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1210,Exploitation of Remote Services
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1212,Exploitation for Credential Access
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1213,Data from Information Repositories
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1213.001,Confluence
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1213.002,Sharepoint
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1213.003,Code Repositories
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1218,Signed Binary Proxy Execution
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1218.007,Msiexec
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1222,File and Directory Permissions Modification
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1222.001,Windows File and Directory Permissions Modification
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1222.002,Linux and Mac File and Directory Permissions Modification
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1484,Domain Policy Modification
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1489,Service Stop
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1495,Firmware Corruption
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1505,Server Software Component
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1505.002,Transport Agent
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1505.003,Web Shell
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1505.005,Terminal Services DLL
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1525,Implant Internal Image
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1528,Steal Application Access Token
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1530,Data from Cloud Storage Object
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1537,Transfer Data to Cloud Account
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1538,Cloud Service Dashboard
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1542,Pre-OS Boot
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1542.001,System Firmware
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1542.003,Bootkit
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1542.005,TFTP Boot
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1543,Create or Modify System Process
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1543.001,Launch Agent
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1543.002,Systemd Service
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1543.003,Windows Service
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1543.004,Launch Daemon
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1546.003,Windows Management Instrumentation Event Subscription
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1547.004,Winlogon Helper DLL
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1547.006,Kernel Modules and Extensions
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1547.009,Shortcut Modification
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1547.012,Print Processors
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1547.013,XDG Autostart Entries
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1548,Abuse Elevation Control Mechanism
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1548.002,Bypass User Account Control
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1548.003,Sudo and Sudo Caching
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1550,Use Alternate Authentication Material
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1550.002,Pass the Hash
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1550.003,Pass the Ticket
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1552,Unsecured Credentials
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1552.001,Credentials In Files
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1552.002,Credentials in Registry
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1552.004,Private Keys
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1552.006,Group Policy Preferences
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1552.007,Container API
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1553,Subvert Trust Controls
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1553.006,Code Signing Policy Modification
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1556,Modify Authentication Process
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1556.001,Domain Controller Authentication
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1556.003,Pluggable Authentication Modules
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1556.004,Network Device Authentication
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1556.005,Reversible Encryption
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1556.006,Multi-Factor Authentication
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1556.007,Hybrid Identity
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1558,Steal or Forge Kerberos Tickets
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1558.001,Golden Ticket
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1558.002,Silver Ticket
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1558.003,Kerberoasting
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1558.004,AS-REP Roasting
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1559,Inter-Process Communication
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1559.001,Component Object Model
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1562,Impair Defenses
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1562.001,Disable or Modify Tools
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1562.002,Disable Windows Event Logging
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1562.004,Disable or Modify System Firewall
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1562.006,Indicator Blocking
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1562.007,Disable or Modify Cloud Firewall
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1562.008,Disable Cloud Logs
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1562.009,Safe Mode Boot
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1563,Remote Service Session Hijacking
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1563.001,SSH Hijacking
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1563.002,RDP Hijacking
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1567,Exfiltration Over Web Service
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1569,System Services
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1569.001,Launchctl
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1569.002,Service Execution
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1574,Hijack Execution Flow
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1574.004,Dylib Hijacking
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1574.005,Executable Installer File Permissions Weakness
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1574.007,Path Interception by PATH Environment Variable
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1574.008,Path Interception by Search Order Hijacking
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1574.009,Path Interception by Unquoted Path
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1574.010,Services File Permissions Weakness
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1574.012,COR_PROFILER
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1578,Modify Cloud Compute Infrastructure
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1578.001,Create Snapshot
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1578.002,Create Cloud Instance
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1578.003,Delete Cloud Instance
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1580,Cloud Infrastructure Discovery
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1585.003,Cloud Accounts
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1586.003,Cloud Accounts
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1599,Network Boundary Bridging
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1599.001,Network Address Translation Traversal
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1601,Modify System Image
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1601.001,Patch System Image
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1601.002,Downgrade System Image
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1606,Forge Web Credentials
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1606.001,Web Cookies
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1606.002,SAML Tokens
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1609,Container Administration Command
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1610,Deploy Container
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1611,Escape to Host
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1612,Build Image on Host
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1613,Container and Resource Discovery
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1619,Cloud Storage Object Discovery
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1621,Multi-Factor Authentication Request Generation
1.2.1,Implement App Based Permissions per Enterprise,Target Level ZT,mitigates,AC-2,Account Management,T1648,Serverless Execution
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1003,OS Credential Dumping
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1003.001,LSASS Memory
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1003.002,Security Account Manager
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1003.003,NTDS
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1003.004,LSA Secrets
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1003.005,Cached Domain Credentials
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1003.006,DCSync
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1003.007,Proc Filesystem
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1003.008,/etc/passwd and /etc/shadow
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1005,Data from Local System
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1021,Remote Services
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1021.001,Remote Desktop Protocol
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1021.002,SMB/Windows Admin Shares
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1021.003,Distributed Component Object Model
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1021.004,SSH
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1021.005,VNC
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1021.006,Windows Remote Management
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1025,Data from Removable Media
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1036,Masquerading
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1036.003,Rename System Utilities
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1036.005,Match Legitimate Name or Location
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1041,Exfiltration Over C2 Channel
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1047,Windows Management Instrumentation
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1048,Exfiltration Over Alternative Protocol
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1052,Exfiltration Over Physical Medium
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1052.001,Exfiltration over USB
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1053,Scheduled Task/Job
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-2,Account Management,T1053.002,At (Windows)
